,1,2,3,4,5,6,7,8,9,10,11,12
V1,2.833474088,12.24263233,6.426084675,52.7485552,5.410943436,11.12971513,4.348206598,25.03516199,11.43530892,18.13098907,3.981816142,2.520840157
V2,113.9917035,54.00672812,2.196349121,219.8071197,12.93507016,0.693562768,24.06887107,1.75824618,1.92991645,0.50560777,73.46151883,459.4981157
V3,764.4427122,18.06120993,30.5444124,53.1016866,5.260688198,15.12274846,91.72224337,27.15333701,5.582290204,13.31596894,119.5767121,69.35263681
V4,616.5423461,14.7867665,93.28088797,27.70209985,5.019428537,11.43032891,13.8425686,4.537499324,6.446562865,17.24106889,30.86292908,8.215763257
V5,708.0667701,0.373844116,44.19458599,189.0310687,2.736696084,0.977564655,15.47729773,106.2680601,14.60262018,4.142376082,20.23535342,6.204791254
V6,80.15229077,17.68875324,3.301034861,21.04447904,47.37501527,38.2616529,12.15130537,78.52625698,11.58997114,43.14777865,3.031821716,384.1918503
V7,18.8028138,21.65383365,14.52568748,21.99643808,18.62808858,14.9819668,6.39758924,42.43817729,27.77515892,2.156485722,1.069797176,1.802589602
V8,8.393439086,19.62652155,1.178202522,12.1157905,0.615131799,20.30378143,7.135023589,14.24176553,1.738363599,23.31425399,15.38185222,4.074809343
V9,5.29586829,25.22062892,3.020358663,3.00941253,2.198468487,29.98264048,6.599422242,7.216175616,13.63679023,18.60687654,3.910938291,6.270878797
V10,3.522508365,27.65664808,3.999668355,51.94211931,33.14587118,20.08107689,37.91573045,76.38046155,36.64002119,47.67983596,6.96266212,42.98393824
V11,7.518719024,14.31553848,7.487113685,6.52756452,19.9480694,11.52711929,4.362855026,11.30553232,4.87729409,1.011741439,4.145383185,4.279956815
V12,2.611425941,20.2511999,28.49582687,15.10172475,70.78312476,17.80630632,17.10790014,16.2167963,9.791815932,19.82365398,2.93642392,1.582997778
V13,51.77819274,18.34534414,11.85918709,13.63812596,4.813709688,21.01200381,14.88869316,21.82017566,6.005867266,20.02604957,2.690087243,3.946142661
V14,2.802226734,4.435548259,583.9190708,6.179664936,384.3741697,8.056138631,5.655334577,7.486169397,121.6339133,18.5079086,6.116820338,1.719401118
V15,15.99925186,19.05058309,229.6580081,47.47050431,365.6448066,14.56415163,58.3187923,118.4991191,34.78601153,14.45455347,17.03448286,21.71660344
V16,2.693644612,15.74148577,14.23238357,14.50254452,36.51554649,13.08457814,33.53914806,12.52120775,16.44443328,8.625016933,0.809451676,2.592942848
V17,11.15259137,14.38360196,13.80706343,2.427813569,28.5107426,13.96636864,6.952988602,2.573409536,3.859793768,18.51667584,18.24554769,5.307546946
V18,78.01352892,22.09297412,6.109430371,19.02202481,10.35987392,51.67997511,5.526255132,78.86232872,15.56838003,14.7863307,30.59905924,17.09925761
V19,148.6299052,46.66974603,49.39913586,7.964368501,83.74205212,22.15034095,104.9564295,17.6955205,91.1366044,28.88793983,6.964346585,8.328471013
V20,10.28392393,18.59485122,0.506676529,5.787674272,33.54283694,21.18717453,30.06449105,5.239932677,1.622720766,29.49043235,23.29625779,7.046980758
V21,11.17267815,9.051188168,1.460468456,6.648199614,2.195671142,11.04646953,8.682823943,48.94592423,3.117025815,6.404012582,16.27485236,2.552207173
V22,26.89890895,36.76116095,5.157964521,2.741395981,6.82379579,34.14312134,29.67796931,10.75801761,3.317688536,2.300779919,16.52948064,11.14097888
V23,19.49064057,24.45637099,0.768485416,8.118153745,132.8750249,24.82287822,30.13448479,21.1914678,2.465632318,32.95181073,15.01026315,3.396209984
V24,21.10078836,25.58181568,2.288014979,5.669392994,11.05384736,19.42586446,10.79045256,13.12285099,12.63512575,10.94454719,4.092284985,14.02993415
