,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
V1,0.263434008,0.257837408,0.03431385,0.257317807,0.257789749,0.250723546,0.031588824,0.249585786,0.144654992,0.153285325,0.01745345,0.159757677,0.181626952,0.187144701,0.015460792,0.23342265,0.168792039,0.095453444,0.039722251,0.175238456,0.128824101,0.115937303,0.034673422,0.170755521,0.077095506,0.071419718,0.018726143,0.12592552,0.127254135,0.135864088,0.019212244,0.250625748,0.191323391,0.084110677,0.093424501,0.202696356,0.101693769,0.084217505,0.059454041,0.211069742,0.11186454,0.081290863,0.059333177,0.123743098,0.104933556,0.097093707,0.02471269,0.147790386,0.109761808,0.102200447,0.128480296,0.164964519,0.117543249,0.168631459,0.160756633,0.247366854,0.074128154,0.073652482,0.093025149,0.153813926,0.113326497,0.109290727,0.080566887,0.248411922,0.170496384,0.092673529,0.131508929,0.20935248,0.077185195,0.127955058,0.07424748,0.127741206,0.068282733,0.053801022,0.060412755,0.093027657,0.085985768,0.086464407,0.042960668,0.110360164,0.052699498,0.022418268,0.090590655,0.05713902,0.042239339,0.051114967,0.096014383,0.084139059,0.034616496,0.022039303,0.066527651,0.056508126,0.060949577,0.044689806,0.085688904,0.115966839
V2,0.986079569,0.882546691,0.15882959,0.611013301,0.597266601,0.401374418,0.133871868,0.423982646,0.671552927,0.466429669,0.169797763,0.381176507,0.766179025,0.843907358,0.19689525,1.02841392,0.338891811,0.298814513,0.069111451,0.385543121,0.190758041,0.222559453,0.150361134,0.277304908,0.1361412,0.198943621,0.049584056,0.128451937,0.001965754,0.188247802,0.078343948,0.017794587,0.969398358,0.602632567,2.233681379,0.807155777,0.849952995,0.804870367,1.206274926,1.071073464,0.669290232,0.553015081,1.335208552,0.75594198,0.468482903,0.963502796,1.018660074,0.911455852,0.779435708,0.693922114,0.744967052,1.090341164,0.287741816,0.389763795,0.427532079,0.382196196,0.272049138,0.271046199,0.304889383,0.302515478,1.119175682,0.37988892,0.308379985,0.751011207,1.762640139,0.480471879,1.09622259,1.666242459,0.46084347,0.291116612,0.48135341,0.559148458,0.560817943,0.361776859,0.434210678,0.733382154,0.794635058,0.511987274,0.47732781,0.907393567,0.381721317,0.208793503,0.196357376,0.385230721,0.165763974,0.170002926,0.184080579,0.283332922,0.097473899,0.090517232,0.094427342,0.171886091,0.337637752,0.241979216,0.283719981,0.733658191
V3,0.00319683,0.006831674,0.000756328,0.008205341,0.014807377,0.008026289,0.001612063,0.00579775,0.002104005,0.006278118,0.001255815,0.006807237,0.386007827,0.115557972,0.019753495,0.135453741,0.029742327,0.006634375,0.000594905,0.028332789,0.039190428,0.006121961,0.001956515,0.042523282,0.010137968,0.005980877,0.001061503,0.019150847,2.381531459,0.483027645,0.084574025,2.567468904,0.016920216,0.000925353,0.001674821,0.000429161,0.045750901,0.011775943,0.003074426,0.013799464,0.026271711,0.017723147,0.017651387,0.01316642,1.460655106,0.200130288,0.112732407,0.468641183,0.011778571,0.008303438,0.001738097,0.009426899,0.001780291,0.001366346,0.003168727,0.000384364,0.002049615,0.002409025,0.00180731,0.001918005,0.008648157,0.007436435,0.002908564,0.003492771,0.006176786,0.001861154,0.002060043,0.006641321,0.001937406,0.000507508,0.000244268,0.000883219,0.006854815,0.003503761,0.005168303,0.00636982,0.005582833,0.002706435,0.000427889,0.001673979,0.004923254,0.001014093,0.000343496,0.00377677,0.001128004,0.000818143,0.000395643,0.000712107,0.000848023,0.00076005,0.00054343,0.000860545,0.004451801,0.001882569,0.00064675,0.00858024
V4,0.151852208,0.082390332,0.037807165,0.126420291,0.174651372,0.140394218,0.042693633,0.146825488,0.077886086,0.065422798,0.016656692,0.071967268,0.009630708,0.049279308,0.009036276,0.010082274,0.39797703,0.203448799,0.152625563,0.385082681,0.255895318,0.199420795,0.127586225,0.352162478,0.175265857,0.153600294,0.053772029,0.264712458,0.423207246,0.347625556,0.091588816,0.674650009,0.216603984,0.085711897,0.220410858,0.182889459,0.131701936,0.059490118,0.167174162,0.156106868,0.1136073,0.073222393,0.160866984,0.107289857,0.018145375,0.073283888,0.122650782,0.086641733,0.065610104,0.012603657,0.073704972,0.107363544,0.111187672,0.101279041,0.125217914,0.171131768,0.057309416,0.035782863,0.06011638,0.086455396,0.179185109,0.074213147,0.074538765,0.19099237,0.269359206,0.160278235,0.184455047,0.266927054,0.164766062,0.212466976,0.167780674,0.229018681,0.138315365,0.117513626,0.115330193,0.134232651,0.210761501,0.210140411,0.112446887,0.228058128,0.139955957,0.057183359,0.148308357,0.156487787,0.098956758,0.094025034,0.170560215,0.177197346,0.079963594,0.052397551,0.09917697,0.127982979,0.204504061,0.118931225,0.204497753,0.334375292
V5,0.009587396,0.003608632,0.000411098,0.006892211,0.003189645,0.001841694,0.000550477,0.006154481,0.007778916,0.002555092,0.002148284,0.00307382,0.16187839,0.045769487,0.015905302,0.097557729,0.006795911,0.002740584,0.003195035,0.002475821,0.002450919,0.002302474,0.001030286,0.000597576,0.001480927,0.000402778,0.000650033,0.00215255,0.495800959,0.012565747,0.025861792,0.89205426,0.074820253,0.020807728,0.027142516,0.035069972,0.141146868,0.027296887,0.045101579,0.081201971,0.057551784,0.020026859,0.014255405,0.034746043,4.273892667,0.805240691,0.48740345,2.317916855,0.000519633,0.002413836,0.006092355,0.00083317,0.002207721,0.006471159,0.001585395,0.007994644,0.000756488,0.00325781,0.000805451,0.001542608,0.000856319,0.000474649,0.001127627,0.002795589,0.011117404,0.003792414,0.007106641,0.015396222,0.000936325,0.00484536,0.001445904,0.006620732,0.001518953,0.004593374,0.000548659,0.007405428,0.000653883,0.004235629,0.001218586,0.005209766,0.000903239,0.00085284,0.003555537,0.000538677,0.000724969,0.000451091,0.002097513,0.000880461,0.000869488,0.001105173,0.000752178,0.00169477,0.000831131,0.001146419,0.00290168,0.000218246
V6,0.0759316,0.101202953,0.013353387,0.027933848,0.002949407,0.075472533,0.006000355,0.005721316,0.066540999,0.055494949,0.028149904,0.018043605,0.044014177,0.085045733,0.011295979,0.009646099,0.028714313,0.02833919,0.003742088,0.007933569,0.008748944,0.019292856,0.013887346,0.010454072,0.017716843,0.036482512,0.001946836,0.012043604,0.002600329,0.01405346,0.00814689,0.012443798,0.456257517,0.274456248,4.178828636,0.184600391,0.270264643,0.371912285,2.648553249,0.307291309,0.534939609,0.618066308,3.279604038,0.378712931,0.147480102,0.330408558,1.65727888,0.193606011,0.065016488,0.225618166,0.053974695,0.186785187,0.000996649,0.034065086,0.006606403,0.011866307,0.001720482,0.068146595,0.011672123,0.035316493,0.144816233,0.030838579,0.001822941,0.1370265,0.131392539,0.076121717,0.075743036,0.196019911,0.05739244,0.037618044,0.031266355,0.003219092,0.18536777,0.121173088,0.05639494,0.169399295,0.122437571,0.143819758,0.073194036,0.290281937,0.004364741,0.001961649,0.005019349,0.00209498,0.004813341,0.04175028,0.028211233,0.017136946,0.00068992,0.005225086,0.009569667,0.006995042,0.020223109,0.012038732,0.04715763,0.087842905
V7,0.000495565,0.002223729,0.000104253,0.011354071,0.033330298,0.06599073,0.014457709,0.18345089,0.001258817,0.00545399,0.000919968,0.021939303,0.002424284,0.004404129,0.000177568,0.035356086,0.006650791,0.001571049,0.000399095,0.008876763,0.000172374,4.92E-05,6.00E-05,0.000169444,0.001721591,0.002557402,4.93E-05,0.004056813,0.001064802,0.00023546,6.15E-05,0.006062191,0.149507558,0.046180627,0.085762606,0.059241364,0.023223469,0.027122343,0.055518361,0.026173443,0.184566925,0.165536355,0.12111631,0.128583731,0.034467835,0.022237112,0.024517203,0.019795063,0.018179254,0.008950356,0.001400442,0.077651223,0.002244821,0.006927942,0.00272196,0.004179131,0.005574801,0.006208859,0.004272124,0.008904864,0.028673824,0.003029298,0.003392499,0.041759666,0.064635368,0.020807646,0.08208122,0.016375807,0.051971403,0.022454175,0.086897542,0.039190202,0.086922165,0.020403984,0.054417105,0.045874597,0.074092412,0.038038501,0.059320096,0.064278,0.000847539,0.001992609,0.001209341,0.005890744,0.001389565,0.007888843,0.008975948,0.015309048,0.00043685,0.000984977,0.000624431,0.008512429,0.000215702,0.000973138,0.005912124,0.019265607
V8,0.565604646,0.303541134,0.052366522,0.302619611,0.571891395,0.209549926,0.085631295,0.397458374,0.792812084,0.219913736,0.081791672,0.543187374,0.765429634,0.479364569,0.121763227,1.350319921,0.027208332,0.05799412,0.016813148,0.034385013,0.011904346,0.022311391,0.035809653,0.020606165,0.004217035,0.025064259,0.006113165,0.002976109,0.001037705,0.016098407,0.021771382,0.022454738,0.18458937,0.11380423,0.434947043,0.153748443,0.25182818,0.17449245,0.256689461,0.237345055,0.144889269,0.113727952,0.367847508,0.148614512,0.388677593,0.342616542,0.261548737,0.359188477,0.098776045,0.069968776,0.085358913,0.256848131,0.027718837,0.061007887,0.038201844,0.054761071,0.028836197,0.040606389,0.045247162,0.063651982,0.313227032,0.062335505,0.044864786,0.159607757,0.140138264,0.044283191,0.081950925,0.139579628,0.01733426,0.022248043,0.032498258,0.056580412,0.025383026,0.031904181,0.039544099,0.068150964,0.045341939,0.055044602,0.055761671,0.059489722,0.03968779,0.023264162,0.011195033,0.035712897,0.005992606,0.00101236,0.009061129,0.020285203,0.006080683,0.001176161,0.000609222,0.019999235,0.009822111,0.021711123,0.031468842,0.094598748
V9,0.017073149,0.02200777,0.005397447,0.001785958,0.045823166,0.0218848,0.004839674,0.032389209,0.003387567,0.008113913,0.000822981,0.002458322,0.360163389,0.326196764,0.024984032,0.385479363,0.024991171,0.018576356,0.001172422,0.0588555,0.048572276,0.016224869,0.005392918,0.097025227,0.012396575,0.010097098,0.000520594,0.034568967,0.919794515,0.459181405,0.006708084,1.89922579,0.025008899,0.026058287,0.06097025,0.016127844,0.063554669,0.023382186,0.041957299,0.043867361,0.049231674,0.026380755,0.024768389,0.018149006,0.408486942,0.241892516,0.005531574,0.306029041,0.002095339,0.003285021,0.002114444,0.017788056,0.006696592,0.004756906,0.006273574,0.001760738,0.001258687,0.002357332,0.00180345,0.002043471,0.001384966,0.002263384,0.001271411,0.003948013,0.015841774,0.002828747,0.005971911,0.000522937,0.014471225,0.002648515,0.014546827,0.001824616,0.009404747,0.000608067,0.001007508,0.002752506,0.013530495,0.005768919,0.008789137,0.011882413,0.001076501,0.002117101,0.002663132,0.003425697,0.00144495,0.002976031,0.006392137,0.015992234,0.000499386,0.000695783,0.003613863,0.000896472,0.009352361,0.002570493,0.002327076,0.004281044
V10,0.148470879,0.160931764,0.0246451,0.07672601,0.070062109,0.106932008,0.005738781,0.002489295,0.09876493,0.166371766,0.011346055,0.078060467,0.11726068,0.201627316,0.023087708,0.129824662,0.101420005,0.082963108,0.002649957,0.060138429,0.10215435,0.137167818,0.006376248,0.166467953,0.045158118,0.053857635,0.004310618,0.067501914,0.00148685,0.165510342,0.001407935,0.113219902,0.667307625,0.59538487,0.102396202,0.282843894,0.923277662,0.900486039,0.15546786,0.626717894,0.628980767,0.585289187,0.097745663,0.30623961,1.090091837,1.250760293,0.134227105,0.769629426,0.039003371,0.048768341,0.057322953,0.010624473,0.005179421,0.03613295,0.036176457,0.017973719,0.005412602,0.02103077,0.038350709,0.016465686,0.001284966,0.049093013,0.006561777,0.006271707,0.125982569,0.037822719,0.01372513,0.081435532,0.071109465,0.05988235,0.045668088,0.052522386,0.039012045,0.019251287,0.019531841,0.081462466,0.07393743,0.003286368,0.03997406,0.006681314,0.001214579,0.004369773,0.026174298,0.043886222,0.020365284,0.039869906,0.009328801,0.004284676,0.002136157,0.002516136,0.006390077,0.00367738,0.015227295,0.023139852,0.002374445,0.06130893
