,1,2,3,4,5,6,7,8,9,10,11,12
V1,11.08496232,15.692392,14.74360152,3.130617097,37.65198688,11.37137408,5.437803216,18.80642852,15.53630251,5.572198772,21.40764232,6.013797536
V2,100.7361512,4.95432552,44.55979265,7.19879809,246.4310704,8.301289084,6.907632888,1.058466859,3.221843304,81.98115397,4.173448598,430.4233759
V3,538.8724782,26.8666288,33.15284514,7.092584778,62.68365517,12.57950831,79.86928226,14.85531036,2.394979437,95.02133872,17.34574752,19.99417997
V4,444.8296454,89.33019026,20.58724605,7.324333276,27.96809165,12.11011436,7.200952581,5.785065951,20.88070167,20.09686915,9.867569074,8.354546497
V5,536.7145423,56.00297072,1.830104163,1.521215929,173.9031745,11.31250533,22.47119511,95.65304335,3.079392938,8.275798952,17.50163421,3.438390372
V6,66.57409951,1.48705164,20.37766867,43.7357502,12.5621594,37.56227568,9.204733895,65.32801523,39.26685602,2.257104307,54.38823435,403.8827802
V7,18.08550336,28.04939927,18.73614441,12.81353568,24.80394017,14.55510219,10.36643565,40.4443658,16.63572002,2.951668548,1.791446229,2.483996329
V8,12.75718297,1.12126252,18.52025846,1.230114114,9.771690898,19.78831901,10.77341822,15.07025273,6.293161292,19.53454802,29.03897513,4.491399749
V9,4.803947964,4.471445134,27.29951944,2.264457906,2.827393865,25.26832304,5.800748748,8.245722711,24.29138586,6.448160268,9.770120465,8.46573043
V10,18.32473107,12.50644304,27.15721637,29.7660339,36.3269,18.37913386,63.94058885,68.76611186,61.56447832,6.389136005,66.72078444,41.21332159
V11,11.79673488,10.59655301,14.22949535,13.97555297,7.174529428,10.9330864,3.79983723,5.464034556,2.671250779,1.887692683,1.995953475,7.259386848
V12,14.89532026,38.81159413,19.97297446,55.58962904,5.058292314,17.67449197,26.37220012,11.83587612,18.45016783,5.326031958,15.47178239,3.20569612
V13,51.67886026,9.591239574,18.39439754,8.054181388,4.357952008,22.77187154,15.84789403,14.45091433,25.16347895,6.711595729,9.093863761,4.355543562
V14,1.375177942,701.2048766,5.157632879,267.4894197,3.050915298,9.775339066,3.331686748,6.982128486,38.31746424,5.73990458,19.90071767,3.974204608
V15,13.85919598,293.5428016,20.88765024,272.3732504,47.50409357,15.95180169,66.94704357,105.945063,4.848793939,18.40434236,11.84297012,17.80859217
V16,4.27712004,27.13250005,14.57639801,25.60365997,17.81455196,12.11592171,26.63790413,13.43861104,3.477658349,2.393491792,17.0324395,3.750937678
V17,5.785983511,13.76402257,14.85061404,24.10168952,6.250452037,12.09312343,6.972012603,1.086649798,16.51275628,17.87088955,25.29908243,4.672391613
V18,59.31496094,3.979108818,19.91506197,10.30978076,18.0963023,54.03411698,12.47771122,74.83623299,38.14363083,43.07283206,14.0557516,15.56368354
V19,107.1175861,73.85400788,45.8750378,71.66196707,5.745839135,19.70960249,59.82379463,21.96874305,106.8223894,21.44944244,21.56187774,7.682564182
V20,5.736073658,1.223594721,21.95656393,30.65831678,10.46968188,19.12203058,51.82887415,3.097427291,3.341099536,6.27433124,30.08490904,3.767086889
V21,4.82384284,1.94310691,12.95594998,1.130843456,4.053610947,8.894847702,12.11344578,42.15370574,9.764194418,13.52264573,7.490426394,2.711467736
V22,16.48753545,6.04384487,33.82516614,3.528954394,14.32236808,30.85354888,32.16534012,13.95548621,5.556817041,19.41795438,1.979391604,12.22971859
V23,14.79012625,9.589650895,24.72460425,107.7710193,9.831981311,23.53216182,19.70871548,16.76683161,1.170858876,24.67625475,48.47449587,5.80658978
V24,19.466534,5.261520835,25.12497607,9.436072081,11.57107303,18.39756529,14.08798034,12.87673803,12.25184388,5.596408463,3.585578164,9.861923502
V25,2.886766976,2.632691677,22.63097211,6.841414281,29.10296074,26.69599776,59.49447278,32.54846471,12.26291863,12.49635702,12.47201698,6.368341499
V26,10.93116694,1.531386079,12.25681494,5.546622491,4.36627339,21.94544075,4.636583104,12.04670285,5.298683148,3.66994375,3.673401818,1.925362372
V27,10.66513986,16.88719781,25.38448794,1.543088343,9.261405167,16.62473065,8.008627235,8.999543958,3.019115494,5.399878017,2.242852715,6.843151296
V28,5.024234208,1.597345517,73.12897677,10.16727461,52.40218645,3.794644224,10.6529649,5.930782989,4.46793795,2169.521884,2.489964225,413.548924
V29,4.395000893,2.8004397,31.57459406,9.990911657,6.376605993,14.3814995,5.247320584,20.59757626,8.198359664,27.92637193,41.12956273,15.88923853
V30,297.5852596,3.563894664,36.82833328,15.05106231,7.386309612,29.76649536,66.64151082,6.922641997,71.72119369,25.56327081,10.07717428,5.473636232
V31,1.074075871,63.80039391,45.46976892,121.4728798,30.38697835,31.27372536,12.29911721,68.06285167,17.53372122,16.86382187,7.737265058,47.29476388
V32,5.639998107,51.68119035,47.72607475,57.07644105,22.75952751,44.23434749,17.13848888,43.71475224,63.46041287,9.735550797,6.882859499,12.81413911
V33,2.094457325,0.569044671,15.17116458,0.662482206,9.521487646,5.58139762,12.1113468,1.355187779,7.516549707,14.77098887,4.367934299,3.118028816
V34,4.446320089,885.7897245,15.41458747,208.040937,6.976678819,18.33714679,8.926042018,43.20889893,115.9831591,24.61370532,4.206242898,7.860797711
V35,6.75426514,7.046236916,19.31908025,2.114825567,24.19520932,17.16235736,36.11790162,8.376274634,4.941474357,2.20285209,32.97564013,4.357151614
V36,2.479852178,0.820080831,15.73952608,2.626911346,6.377911565,21.38577482,22.41919468,25.98457409,1.381915504,8.820339883,5.149819991,3.151484811
V37,10.02651726,4.876927732,22.71305051,6.587036904,2.694703668,29.50981286,18.30873939,36.84911766,13.38577971,26.43223387,43.12329741,5.769333361
V38,139.7852156,1072.113665,1.680931743,364.5815528,7.328491024,11.69609853,30.46193793,68.38953413,160.7288655,52.19718224,1.859463776,12.69317804
V39,1.082515816,2.458671664,21.10279895,15.57929073,15.21381215,20.82283743,11.99855228,14.87873066,19.45620702,23.06302464,45.48090213,6.990643258
V40,13.78709179,0.999778498,22.86264727,6.191747676,3.789234372,6.383252697,27.17564115,5.962993694,6.838296297,10.90993818,20.58833793,11.13169602
V41,8.69387138,4.431435974,28.0326688,1.09794736,10.67253912,10.18310695,35.89316825,12.21854867,18.5332406,4.493382989,17.61033587,32.97478776
V42,2.897912728,13.07658775,12.67889913,6.652796269,12.31808682,13.83353442,6.211764214,9.140318317,5.116557412,8.837242583,22.53028566,9.948085857
V43,19.08934999,3.544639303,19.18991137,2.565240432,3.663596566,12.1221346,1.863243738,2.916200806,1.751969247,7.365027131,18.7806002,11.23400074
V44,12.46904302,14.77222932,25.60344497,43.95001884,16.79798739,20.81313311,13.81034771,7.067961042,17.64672612,5.20054283,30.24175,4.878250623
V45,59.15467068,15.70365254,31.80232285,11.54463713,7.972893858,35.94894044,6.58479691,40.63044027,49.13593943,2.421245933,54.23349129,4.750829848
V46,10.45929837,1.25483697,20.10977101,0.57254644,2.488654168,8.208035673,11.49932863,3.459045665,3.587833462,5.237870833,17.32270244,10.83055146
V47,3.442740263,1.596266864,16.19055065,1.673390846,4.88783581,1.968048136,13.29050725,1.774470982,3.18858846,14.60378291,12.97978488,4.843981347
V48,9.581521255,10.9374166,16.91656645,0.930476853,29.04081373,43.48123226,37.03410761,140.7970345,12.43491863,32.4586926,1.487351967,8.890209798
V49,14.11760294,3.134506017,12.7603798,3.202509698,9.364180796,41.68395145,1.573692531,13.90821913,2.815920716,5.210384714,6.358345216,5.79621329
V50,49.97986751,3.247547936,22.74712174,6.171895918,2.95340108,27.56982762,8.968808937,41.01423381,9.796673396,28.74008374,28.05130397,242.4050565
V51,13.17331837,6.583627117,22.68543444,4.719483119,9.965778115,17.77335615,29.32789031,18.54931955,2.850169698,4.461929696,7.154731382,5.538282873
V52,70.77111919,31.37737631,18.36693512,14.54187458,3.676581908,36.67863661,4.997972594,74.88852497,19.05187214,26.84622926,27.37381236,25.82688087
V53,46.83246159,3.738970317,15.08957309,2.480953449,12.43816257,17.74629713,3.817134431,8.805067806,4.977399381,10.10979295,8.692293132,5.849555907
V54,6.789492689,7.96040855,25.2240448,17.97514962,10.71525689,35.54103824,8.808514927,37.0962244,19.07440579,24.57730304,23.12988097,5.931328703
V55,6.339691758,2.983277547,30.02828539,9.23164975,7.312880668,15.49495116,58.71394541,4.259208991,13.24727058,4.918714301,13.19625277,5.095882722
